PDB_Chain,PDB_ID,Chain_ID,UniProt_ID
2f2wA,2f2w,A,P07751
2hmsA,2hms,A,O32080
1apnA,1apn,A,P02866
1r9yA,1r9y,A,P25524
2fcjA,2fcj,A,Q5KVJ9
1c7vA,1c7v,A,P04573
2sqcA,2sqc,A,P33247
1x2qA,1x2q,A,O75886
1fwuA,1fwu,A,Q61830
1pz1A,1pz1,A,P80874
1y3aA,1y3a,A,P63096
2nwaA,2nwa,A,O34365
1c1xB,1c1x,B,Q59771
2f2fA,2f2f,A,O87120
1l6oA,1l6o,A,P51142
1gbqA,1gbq,A,Q60631
1pmaA,1pma,A,P25156
1o4uA,1o4u,A,Q9X1X8
1ljyA,1ljy,A,Q8SPQ0
1s8nA,1s8n,A,P9WGM3
1g60A,1g60,A,P23192
1yo7A,1yo7,A,P03051
1s14A,1s14,A,P20083
1jjuB,1jju,B,Q8VUS7
1x2jA,1x2j,A,Q9Z2X8
2a5jA,2a5j,A,Q8WUD1
1i2nA,1i2n,A,P0A870
1np6A,1np6,A,P32125
2c2fA,2c2f,A,Q9RS64
1sw1A,1sw1,A,O29280
2pgkA,2pgk,A,
2jaqA,2jaq,A,Q93IG4
1sy6A,1sy6,A,P09693
1sy6A,1sy6,A,P07766
1z6kA,1z6k,A,P9WPE1
1a3cA,1a3c,A,P39765
1k33A,1k33,A,P04578
1tmjA,1tmj,A,P26281
2frnA,2frn,A,
1gvoA,1gvo,A,P71278
1ab5A,1ab5,A,P0AE67
1t9gR,1t9g,R,P13804
1oq1A,1oq1,A,O31524
1grnA,1grn,A,P60953
2ic5A,2ic5,A,P60763
1kxjA,1kxj,A,Q9X0C8
2c13A,2c13,A,Q59643
1z5nA,1z5n,A,P0AF12
1gveB,1gve,B,P38918
1qgoA,1qgo,A,Q05592
1zm1A,1zm1,A,P17989
1e8tA,1e8t,A,Q9Q2W5
1kaoA,1kao,A,P10114
1hizA,1hiz,A,P40943
1lb1B,1lb1,B,P61586
1wkuA,1wku,A,Q08043
2dl7A,2dl7,A,O94868
2f28A,2f28,A,Q9Y3R4
2avdA,2avd,A,Q86VU5
1lolA,1lol,A,O26232
1nw8A,1nw8,A,P14751
6chyA,6chy,A,P0AE67
1ki1A,1ki1,A,P60953
2afaA,2afa,A,Q8ZKT7
1tqxA,1tqx,A,Q8I5L3
2eswA,2esw,A,Q9ES28
1hzfA,1hzf,A,P0C0L4
1gokA,1gok,A,P23360
2f2iA,2f2i,A,P56254
1i0iA,1i0i,A,Q4DRC4
1jgcA,1jgc,A,Q59738
1jahA,1jah,A,P01112
1d2sA,1d2s,A,P04278
1khtA,1kht,A,P43411
2j04B,2j04,B,Q06339
2a79A,2a79,A,P62483
1jcnA,1jcn,A,P20839
2atkC,2atk,C,P0A334
1g33A,1g33,A,P02625
1c1yA,1c1y,A,P62834
1wsbA,1wsb,A,P00323
1xj0A,1xj0,A,P01112
1eyeA,1eye,A,P9WND1
1nz6A,1nz6,A,Q27974
1emrA,1emr,A,P15018
1cvmA,1cvm,A,O66037
1uioA,1uio,A,P03958
1jrcA,1jrc,A,A2RJT9
1c1xA,1c1x,A,Q59771
1ynpA,1ynp,A,Q9KE47
1ssdA,1ssd,A,P00940
1lfdB,1lfd,B,P01112
1bf6A,1bf6,A,P45548
1urxA,1urx,A,G0L322
2chdA,2chd,A,P47709
1dxeA,1dxe,A,P23522
1zgdA,1zgd,A,Q40309
1ys3A,1ys3,A,P9WGK7
1f3rB,1f3r,B,
1ufkA,1ufk,A,Q84BQ9
1b4sA,1b4s,A,P22887
1npsA,1nps,A,P02966
1htwA,1htw,A,P44492
1eizA,1eiz,A,P0C0R7
1yznA,1yzn,A,P01123
1na5A,1na5,A,P11215
2faxA,2fax,A,P00322
2j05A,2j05,A,P20936
1a29A,1a29,A,P62157
1ytpA,1ytp,A,Q40378
2h57A,2h57,A,Q9H0F7
2fkzA,2fkz,A,P22759
1lgcA,1lgc,A,P04122
1fgcC,1fgc,C,P04587
1yrxA,1yrx,A,Q53119
1r5mA,1r5m,A,P38262
1tvnA,1tvn,A,O86099
1dqzA,1dqz,A,P9WQN9
2a6vA,2a6v,A,Q12396
1yvdA,1yvd,A,P35285
1kczA,1kcz,A,Q05514
1qw7A,1qw7,A,P0A434
1clfA,1clf,A,P00195
2aq5A,2aq5,A,O89053
1cmiA,1cmi,A,P63167
2cc1A,2cc1,A,Q59517
1sw0A,1sw0,A,P00940
1om0A,1om0,A,Q8L5C6
1wmxA,1wmx,A,A3DD30
2a08A,2a08,A,P32793
1l7gA,1l7g,A,P03472
1fxkC,1fxk,C,O27646
2b14A,2b14,A,P02766
1mvqA,1mvq,A,P83721
1u5sA,1u5s,A,O43639
2fliA,2fli,A,Q9A1H8
2i6vA,2i6v,A,P45777
1pftA,1pft,A,P61998
1hzbA,1hzb,A,P41016
2fj6A,2fj6,A,O31864
1cc0A,1cc0,A,P61586
1y1lA,1y1l,A,O28910
2a1bA,2a1b,A,P72761
1h1nA,1h1n,A,Q8TG26
2bv9A,2bv9,A,P16218
2erxA,2erx,A,Q96HU8
1w19A,1w19,A,P9WHE9
1gbgA,1gbg,A,P27051
2mcmA,2mcm,A,P01549
1hk0X,1hk0,X,P07320
1jphA,1jph,A,P06132
1he1C,1he1,C,P63000
1khhA,1khh,A,P10868
1ofsA,1ofs,A,P02867
1uuxA,1uux,A,Q39054
1qu0A,1qu0,A,Q60675
1auoA,1auo,A,Q53547
2bw1A,2bw1,A,P0CB53
2a8mA,2a8m,A,Q9H6P5
1cdlA,1cdl,A,P0DP23
1njrA,1njr,A,Q04299
1i3zA,1i3z,A,O35324
1odfA,1odf,A,P42938
1o1hA,1o1h,A,P24300
1wldA,1wld,A,Q9YIC2
2h2bA,2h2b,A,Q07157
1mfgA,1mfg,A,Q96RT1
2iawA,2iaw,A,Q7SIG4
2hgaA,2hga,A,O27421
1flnA,1fln,A,P00322
2eriA,2eri,A,P56879
2ahfA,2ahf,A,Q9RC92
2a36A,2a36,A,Q08012
1losA,1los,A,O26232
1uaiA,1uai,A,Q9RB42
1bcxA,1bcx,A,P09850
1zwkA,1zwk,A,Q9I509
1fvxA,1fvx,A,P00322
2dmhA,2dmh,A,Q9NZM1
1nu0A,1nu0,A,P0A8I1
2d6kA,2d6k,A,O08573
1g8aA,1g8a,A,O57811
1trfA,1trf,A,P10246
1eurA,1eur,A,Q02834
1laxA,1lax,A,P0AEX9
1efnA,1efn,A,P06241
1ucwA,1ucw,A,P0A870
1swlA,1swl,A,P22629
1k40A,1k40,A,P34152
1b9bA,1b9b,A,P36204
1lczA,1lcz,A,P22629
1b68A,1b68,A,P02649
2gh4A,2gh4,A,O34559
1axkA,1axk,A,P23904
1axkA,1axk,A,P18429
2cdpA,2cdp,A,Q6DN99
1djmA,1djm,A,P0AE67
421pA,421p,A,P01112
1brlB,1brl,B,P07739
1w6xA,1w6x,A,Q15080
5chyA,5chy,A,P0AE67
2cyeA,2cye,A,Q5SH84
1qq3A,1qq3,A,P0ABE7
2il1A,2il1,A,Q6IQ22
1friA,1fri,A,P00214
2id1A,2id1,A,Q7P0P8
2fhlA,2fhl,A,P56734
1zzpA,1zzp,A,P00519
1ya7H,1ya7,H,P28061
1nal1,1nal,1,P0A6L4
1h9pA,1h9p,A,P81637
2fe4A,2fe4,A,Q9NRW1
1m30A,1m30,A,Q64010
1w1a1,1w1a,1,O34928
2d81A,2d81,A,B2NHN2
1w0mA,1w0m,A,Q8NKN9
1fvjA,1fvj,A,P0AEG4
1gs5A,1gs5,A,P0A6C8
2esbA,2esb,A,Q8NEJ0
1idoA,1ido,A,P11215
1ihnA,1ihn,A,O27021
1rzmA,1rzm,A,Q9WYH8
2ab5A,2ab5,A,Q9ZZW7
1zkrA,1zkr,A,P30438
1zkrA,1zkr,A,P30440
1orrA,1orr,A,P14169
2dj5A,2dj5,A,O29537
1hdiA,1hdi,A,Q7SIB7
1ao3A,1ao3,A,P04275
1oxbB,1oxb,B,P39928
1ndjA,1ndj,A,P22629
2dg0A,2dg0,A,Q99QV3
1f9cA,1f9c,A,Q51958
1umnA,1umn,A,P0CB53
1j8dA,1j8d,A,P45314
1x2pA,1x2p,A,P55345
1ac1A,1ac1,A,P0AEG4
5nn9A,5nn9,A,P03472
1z78A,1z78,A,P07996
1djaA,1dja,A,P00807
4q21A,4q21,A,P01112
2cnaA,2cna,A,P02866
1uhdA,1uhd,A,P56065
1v8hA,1v8h,A,Q5SME6
2akpA,2akp,A,P02829
1npeA,1npe,A,P10493
1hibA,1hib,A,P01584
1gwnA,1gwn,A,P61588
2f9lA,2f9l,A,Q15907
2cluA,2clu,A,P02794
1jofA,1jof,A,P38677
2h9lA,2h9l,A,P61964
1ghiA,1ghi,A,P00807
1enxA,1enx,A,P36217
1sw2A,1sw2,A,O29280
2iaxA,2iax,A,Q7SIG4
1du5A,1du5,A,P33679
1wnoA,1wno,A,Q873X9
1zp4A,1zp4,A,P0AEZ1
2fmnA,2fmn,A,P0AEZ1
1tjtA,1tjt,A,Q08043
1as0A,1as0,A,P10824
1uhcA,1uhc,A,Q6XZF7
1oy1A,1oy1,A,P0ABU5
1lofC,1lof,C,P04122
1fddA,1fdd,A,P00214
1dhkB,1dhk,B,P02873
1r4wA,1r4w,A,P24473
1cjkA,1cjk,A,P30803
1og0A,1og0,A,P32449
1c3dA,1c3d,A,P01024
1aj0A,1aj0,A,P0AC13
2akoA,2ako,A,Q9PJ29
1qfjA,1qfj,A,P0AEN1
2hxcA,2hxc,A,P84888
1bpoA,1bpo,A,P11442
2co0A,2co0,A,P61964
1vhkA,1vhk,A,P54461
1xxlA,1xxl,A,O31474
1bw9B,1bw9,B,Q59771
1k77A,1k77,A,Q46891
1iysA,1iys,A,Q47066
1rttA,1rtt,A,Q9I4D4
1y6wA,1y6w,A,P0DP23
2fd2A,2fd2,A,P00214
1nc7A,1nc7,A,Q9X0F9
1ijqA,1ijq,A,P01130
2ffxJ,2ffx,J,P02792
1qqfA,1qqf,A,P01026
1ba2A,1ba2,A,P02925
1cb7A,1cb7,A,P80078
2dnuA,2dnu,A,Q5TCZ1
2d3pA,2d3p,A,P81517
1s8fA,1s8f,A,P24408
2i3tA,2i3t,A,P26449
2gjlA,2gjl,A,Q9I4V0
2hs6A,2hs6,A,Q9FEW9
1xipA,1xip,A,P40477
1qkwA,1qkw,A,P07751
1kyvA,1kyv,A,Q9UUB1
1g65D,1g65,D,P32379
1rtgA,1rtg,A,P08253
1nq6A,1nq6,A,Q59922
1xf8A,1xf8,A,Q9EY50
1yd4A,1yd4,A,Q9WYA3
2d0vA,2d0v,A,Q4AE26
1i14A,1i14,A,Q4DRC4
1z07A,1z07,A,P35278
2o8xA,2o8x,A,P9WGH1
1rhcA,1rhc,A,O93734
1a6lA,1a6l,A,P00214
2nqlA,2nql,A,A9CL63
1exbA,1exb,A,P62483
1vzwA,1vzw,A,P16250
2a5gA,2a5g,A,P62330
1kjnA,1kjn,A,O26871
1shuX,1shu,X,P58335
1mveA,1mve,A,P17989
2c2hA,2c2h,A,P60763
2ie8A,2ie8,A,Q08GC7
1vkuA,1vku,A,Q9WY19
1yp8A,1yp8,A,P0C589
1rd5A,1rd5,A,P42390
1xi3A,1xi3,A,Q8U192
1cluA,1clu,A,P01112
1nexB,1nex,B,P07834
1avbA,1avb,A,P19329
1gaoA,1gao,A,P00214
1ve3A,1ve3,A,O57965
1ta3B,1ta3,B,Q00177
1xwyA,1xwy,A,P27859
1jlkA,1jlk,A,Q55169
1fy2A,1fy2,A,P36936
1qjpA,1qjp,A,P0A910
1kwnA,1kwn,A,
2gpyA,2gpy,A,Q9KDE1
2b4qA,2b4q,A,Q9RPT1
1z6oM,1z6o,M,A0A7E5WTY7
2bnjA,2bnj,A,P23360
2dm4A,2dm4,A,Q92673
1yd9A,1yd9,A,Q02874
1pooA,1poo,A,O66037
1owqA,1owq,A,P30922
2h3mA,2h3m,A,Q07157
1of3A,1of3,A,Q9RIK9
1tweA,1twe,A,P01584
1km1A,1km1,A,O26232
1d5cA,1d5c,A,Q26000
2bv2A,2bv2,A,F6Q2R9
2gj8A,2gj8,A,P25522
1a45A,1a45,A,P23005
2ib0A,2ib0,A,O05815
3nn9A,3nn9,A,P03472
1hh4A,1hh4,A,P63000
1rxjA,1rxj,A,P22629
1wwbX,1wwb,X,Q16620
1sulA,1sul,A,P38424
1v0zA,1v0z,A,Q6XV27
1x7gA,1x7g,A,P16544
1m27C,1m27,C,P06241
1i4dD,1i4d,D,P63000
1i1rB,1i1r,B,Q98823
1dslA,1dsl,A,P02526
1rxeA,1rxe,A,P0A006
1i60A,1i60,A,P42419
1ynaA,1yna,A,O43097
1zcaA,1zca,A,P27600
2fceA,2fce,A,P53141
1uv4A,1uv4,A,P94522
2b86A,2b86,A,O43639
2belA,2bel,A,P28845
1xtqA,1xtq,A,Q15382
2h2uA,2h2u,A,Q8WVQ1
1cxzB,1cxz,B,Q16512
1pdrA,1pdr,A,Q12959
1n6oA,1n6o,A,P20339
1infA,1inf,A,P03474
1rciA,1rci,A,P07797
2d5rB,2d5r,B,P50616
1kz6A,1kz6,A,Q9UUB1
2d9rA,2d9r,A,Q7MXL1
1usmA,1usm,A,P83819
1pvhB,1pvh,B,P15018
1aucA,1auc,A,P10599
2hxpA,2hxp,A,Q99956
1sq0A,1sq0,A,P04275
1c4qA,1c4q,A,P69179
1upsA,1ups,A,Q934G8
2i00A,2i00,A,Q831Y9
1gamA,1gam,A,P02526
1km0A,1km0,A,O26232
1d9eA,1d9e,A,P0A715
1sfjA,1sfj,A,Q6GII7
1wy7A,1wy7,A,O59611
2b8qA,2b8q,A,Q5UQL3
1lrtA,1lrt,A,P50097
1x24A,1x24,A,Q78EG7
2a4yA,2a4y,A,
2dclA,2dcl,A,O59172
1r3rA,1r3r,A,P06132
2g2jA,2g2j,A,
1drkA,1drk,A,P02925
1mhnA,1mhn,A,Q16637
1u5vA,1u5v,A,P9WPE1
1kv8A,1kv8,A,P39304
1aewA,1aew,A,P02791
1dvjA,1dvj,A,O26232
1e0sA,1e0s,A,P62330
2nlyA,2nly,A,Q9KCS7
1treA,1tre,A,P0A858
2iatA,2iat,A,Q7SIG4
1jo0A,1jo0,A,P71376
2nycA,2nyc,A,P12904
1jyaA,1jya,A,P31491
1wbiA,1wbi,A,P56732
1m3bA,1m3b,A,Q64010
1qwgA,1qwg,A,Q57703
1b7tY,1b7t,Y,P13543
1wrmA,1wrm,A,Q9NRW4
1gilA,1gil,A,P10824
2fzfA,2fzf,A,Q8U1L6
1mowA,1mow,A,P21505
1mowA,1mow,A,P05725
1qo2A,1qo2,A,Q9X0C7
1jjiA,1jji,A,O28558
1y0mA,1y0m,A,P10686
1d1rA,1d1r,A,P08245
2fkaA,2fka,A,P0A2D5
1xseA,1xse,A,Q6QLL4
1gcoA,1gco,A,P40288
1yzxA,1yzx,A,Q9Y2Q3
2dczA,2dcz,A,P18429
1rliA,1rli,A,P96726
1wzcA,1wzc,A,O58690
1evsA,1evs,A,P13725
1z4aA,1z4a,A,Q9X0L2
1mnsA,1mns,A,P11444
1d1zA,1d1z,A,O60880
2d6oX,2d6o,X,O08573
1ghqA,1ghq,A,P01024
2h6gB,2h6g,B,P49356
1g6bA,1g6b,A,P00214
2df6A,2df6,A,O55043
1jbeA,1jbe,A,P0AE67
1a3kA,1a3k,A,P17931
2clsA,2cls,A,Q92730
1am4D,1am4,D,P60953
1kgeA,1kge,A,P00807
1klzA,1klz,A,O26232
1kalA,1kal,A,P56254
1zm0A,1zm0,A,P08567
1ox8A,1ox8,A,P0AFZ3
1pt4A,1pt4,A,P58454
1fdwA,1fdw,A,P14061
1zosA,1zos,A,Q8DQ16
1oo2A,1oo2,A,Q9PTT3
1gqoA,1gqo,A,P54517
1skoA,1sko,A,Q9UHA4
1vg1A,1vg1,A,P09527
2a4kA,2a4k,A,
1d2gA,1d2g,A,P13255
1o9rA,1o9r,A,Q8UCK6
2i6gA,2i6g,A,Q8ZPC3
1mfiA,1mfi,A,P34884
2ah6A,2ah6,A,Q9KCH6
1fbaA,1fba,A,P07764
1ooeA,1ooe,A,Q9XVJ3
1ywxA,1ywx,A,P61193
2f24A,2f24,A,Q9Y3R4
2feiA,2fei,A,Q9Y5K6
1g5vA,1g5v,A,Q16637
1g9fA,1g9f,A,P05046
1x1zA,1x1z,A,O26232
2c41A,2c41,A,Q8DG54
1b5tA,1b5t,A,P0AEZ1
2gtpA,2gtp,A,P63096
1vyhC,1vyh,C,P63005
2bz8A,2bz8,A,Q96B97
2bjyA,2bjy,A,P80725
1palA,1pal,A,P02619
1w54A,1w54,A,Q59643
2j0vA,2j0v,A,O82480
1uawA,1uaw,A,Q61474
1rstB,1rst,B,P22629
1azlA,1azl,A,P00323
1c9lA,1c9l,A,P11442
1a7dA,1a7d,A,P02247
2fpbA,2fpb,A,P68175
1s1nA,1s1n,A,O15259
1u37A,1u37,A,Q02410
1wa5A,1wa5,A,P62825
1u5wA,1u5w,A,P39411
2cnxA,2cnx,A,P61964
1bwqA,1bwq,A,Q29460
1tikA,1tik,A,P41407
1acvA,1acv,A,P0AEG4
2fwaA,2fwa,A,Q2QJL3
1kggA,1kgg,A,P00807
2awxA,2awx,A,Q62696
1qtwA,1qtw,A,P0A6C1
1xmpA,1xmp,A,A0A6L7HA71
2bmdA,2bmd,A,P20338
2f7sA,2f7s,A,O00194
1jpkA,1jpk,A,P06132
2ho3A,2ho3,A,
1j2jA,1j2j,A,P84078
1dglA,1dgl,A,P08902
1x94A,1x94,A,Q9KPY2
1km3A,1km3,A,O26232
1j9gA,1j9g,A,P00323
2iqqA,2iqq,A,Q5ZXE1
1yjgA,1yjg,A,O34000
1q7fA,1q7f,A,Q8MQJ9
2folA,2fol,A,P62820
2hs8A,2hs8,A,Q9FEW9
1iruL,1iru,L,Q32KL2
1ak4C,1ak4,C,P12497
1bvvA,1bvv,A,P09850
1h4aX,1h4a,X,P07320
1q5qH,1q5q,H,Q53079
1edyA,1edy,A,Q63041
2ht5A,2ht5,A,Q07599
1gyeB,1gye,B,P95470
1nvmA,1nvm,A,P51016
2dqwA,2dqw,A,Q5SLV2
1j4eA,1j4e,A,P00883
1fpzA,1fpz,A,Q16667
1vpyA,1vpy,A,Q838R9
2aj0A,2aj0,A,Q60048
2fleA,2fle,A,Q9J2R0
1nrjB,1nrj,B,P36057
1f5zA,1f5z,A,P44539
1ryfA,1ryf,A,P63000
1n6rA,1n6r,A,P20339
1qpnA,1qpn,A,P9WJJ7
1vh0A,1vh0,A,P0C1V0
1d4kA,1d4k,A,P03369
1lgbA,1lgb,A,P04122
1z6yA,1z6y,A,Q9Y689
1wwjA,1wwj,A,P74645
1xndA,1xnd,A,P48793
1fkwA,1fkw,A,P03958
1sofA,1sof,A,P22759
1a2bA,1a2b,A,P61586
1g63A,1g63,A,P30197
1j2wA,1j2w,A,Q5SJ28
1z0fA,1z0f,A,P61106
1wcqA,1wcq,A,Q02834
1f05A,1f05,A,P37837
