,Protein1,Protein2,tmscore_max,tmscore_cp_max,tmscore_min,tmscore_cp_min,progres_score,cirpin_score,Protein1_sccs,Protein2_sccs,tm_score_min_difference
1022,1azdA,1g8wA,0.47157,0.90756,0.47157,0.90756,0.9893372058868408,0.9963049292564392,b.29.1.1,b.29.1.1,0.43599
1023,1azdA,1gnzA,0.46199,0.89411,0.46199,0.89411,0.9922472238540648,0.9958351254463196,b.29.1.1,b.29.1.1,0.4321199999999999
1024,1azdA,1g9fA,0.47309,0.90501,0.46553,0.89052,0.9896565675735474,0.9968664646148682,b.29.1.1,b.29.1.1,0.42499
1025,1azdA,1dzqA,0.467,0.89974,0.467,0.89974,0.9929815530776978,0.9961036443710328,b.29.1.1,b.29.1.1,0.4327399999999999
1026,1azdA,1fx5A,0.47306,0.89333,0.46736,0.88261,0.9922069311141968,0.996121346950531,b.29.1.1,b.29.1.1,0.41525
1027,1azdA,1f9kA,0.46372,0.88609,0.46372,0.88609,0.9910370707511902,0.9945281744003296,b.29.1.1,b.29.1.1,0.42237
1028,1azdA,1ioaA,0.43732,0.87137,0.43732,0.87137,0.9890286326408386,0.99271821975708,b.29.1.1,b.29.1.1,0.43405
1037,1azdA,1avbA,0.43519,0.8565,0.43519,0.8565,0.989956796169281,0.9921154975891112,b.29.1.1,b.29.1.1,0.42131
1046,1bjqA,2d3pA,0.4705,0.8662,0.4705,0.8662,0.987551212310791,0.9948574304580688,b.29.1.1,b.29.1.1,0.3957
1050,1byhA,1ajoA,0.57098,0.97076,0.57098,0.97076,0.9883095622062684,0.9982811212539672,b.29.1.2,b.29.1.2,0.3997799999999999
1056,1bzwA,1h9wA,0.48026,0.91244,0.48026,0.91244,0.9883889555931092,0.997199535369873,b.29.1.1,b.29.1.1,0.43218
1057,1bzwA,1h9pA,0.47974,0.91386,0.47777,0.91013,0.9900398254394532,0.9976192712783812,b.29.1.1,b.29.1.1,0.43236
1058,1bzwA,2d3pA,0.48076,0.91555,0.47295,0.90077,0.9929473400115968,0.997840404510498,b.29.1.1,b.29.1.1,0.42782
1059,1bzwA,2gdfA,0.46935,0.89482,0.46935,0.89482,0.9660657048225404,0.996125102043152,b.29.1.1,b.29.1.1,0.4254699999999999
1061,1ciwA,1h9wA,0.4801,0.91189,0.4801,0.91189,0.9882566928863524,0.9962463974952698,b.29.1.1,b.29.1.1,0.4317899999999999
1062,1ciwA,1h9pA,0.47963,0.91347,0.47766,0.90974,0.989874005317688,0.9968282580375672,b.29.1.1,b.29.1.1,0.43208
1068,1cn1A,2fmdA,0.47727,0.93134,0.47727,0.93134,0.9904415607452391,0.996347188949585,b.29.1.1,b.29.1.0,0.4540699999999999
1069,1cn1A,1n3oA,0.47192,0.91276,0.46445,0.89838,0.9928598403930664,0.993030607700348,b.29.1.1,b.29.1.1,0.43393
1070,1cn1A,1q8oA,0.46993,0.91142,0.46618,0.90417,0.9923092126846312,0.9938623309135436,b.29.1.1,b.29.1.1,0.43799
1071,1cn1A,1bjqA,0.49258,0.89869,0.46657,0.85077,0.9853659272193908,0.9905778169631958,b.29.1.1,b.29.1.1,0.3842
1072,1cn1A,1n47A,0.46061,0.89869,0.46061,0.89869,0.9897174835205078,0.9931642413139344,b.29.1.1,b.29.1.1,0.4380799999999999
1073,1cn1A,1uzyA,0.46283,0.89566,0.46098,0.89211,0.9894317984580994,0.9940457344055176,b.29.1.1,b.29.1.1,0.4311299999999999
1074,1cn1A,1fatA,0.46246,0.8867,0.46246,0.8867,0.987951159477234,0.9949397444725036,b.29.1.1,b.29.1.1,0.42424
1075,1cn1A,1g9fA,0.46651,0.8885,0.45916,0.87449,0.9882416725158693,0.993983268737793,b.29.1.1,b.29.1.1,0.41533
1076,1cn1A,1bzwA,0.46353,0.88096,0.46353,0.88096,0.9911881685256958,0.996479332447052,b.29.1.1,b.29.1.1,0.4174299999999999
1077,1cn1A,1fyuA,0.46136,0.89909,0.45768,0.89199,0.9892380237579346,0.9946554899215698,b.29.1.1,b.29.1.1,0.43431
1078,1cn1A,1fnyA,0.46765,0.89768,0.46765,0.89768,0.9905773401260376,0.9940958023071288,b.29.1.1,b.29.1.1,0.43003
1079,1cn1A,1sfyA,0.46327,0.9005,0.45956,0.89337,0.98892080783844,0.9943944215774536,b.29.1.1,b.29.1.1,0.43381
1080,1cn1A,1ciwA,0.46319,0.88042,0.46319,0.88042,0.9908692836761476,0.9953060150146484,b.29.1.1,b.29.1.1,0.41723
1081,1cn1A,1lteA,0.46219,0.89904,0.45853,0.89193,0.9889519810676576,0.9948680400848388,b.29.1.1,b.29.1.1,0.4334
1082,1cn1A,1dbnA,0.46177,0.90148,0.45806,0.89431,0.9922845363616944,0.9954298138618468,b.29.1.1,b.29.1.1,0.43625
1083,1cn1A,1ax0A,0.46284,0.89939,0.45915,0.89228,0.9891939163208008,0.9940271973609924,b.29.1.1,b.29.1.1,0.4331299999999999
1084,1cn1A,1gnzA,0.45565,0.87889,0.45565,0.87889,0.9917148351669312,0.9934314489364624,b.29.1.1,b.29.1.1,0.4232399999999999
1085,1cn1A,1f9kA,0.45644,0.87349,0.45644,0.87349,0.9900033473968506,0.9940025806427002,b.29.1.1,b.29.1.1,0.41705
1086,1cn1A,1hqlA,0.45794,0.88073,0.45794,0.88073,0.9912099242210388,0.9941953420639038,b.29.1.1,b.29.1.1,0.42279
1087,1cn1A,1dzqA,0.45934,0.88297,0.45934,0.88297,0.9918927550315856,0.9951890110969543,b.29.1.1,b.29.1.1,0.42363
1088,1cn1A,1wblA,0.46083,0.88777,0.46083,0.88777,0.988214373588562,0.9947021007537842,b.29.1.1,b.29.1.1,0.4269399999999999
1089,1cn1A,2bqpA,0.46267,0.87579,0.46267,0.87579,0.9909086227416992,0.9912711381912231,b.29.1.1,b.29.1.1,0.4131199999999999
1090,1cn1A,1wbfA,0.46069,0.89111,0.46069,0.89111,0.9891026020050048,0.9942201972007751,b.29.1.1,b.29.1.1,0.4304199999999999
1091,1cn1A,1ioaA,0.43079,0.85777,0.43079,0.85777,0.9882489442825316,0.990340530872345,b.29.1.1,b.29.1.1,0.42698
1092,1cn1A,1fx5A,0.46676,0.87602,0.4612,0.86571,0.9914696216583252,0.9947624206542968,b.29.1.1,b.29.1.1,0.40451
1093,1cn1A,1avbA,0.42984,0.84421,0.42984,0.84421,0.9892395734786988,0.9901663661003112,b.29.1.1,b.29.1.1,0.41437
1112,1dglA,2fmdA,0.48616,0.95952,0.48616,0.95952,0.9917019605636596,0.9975239634513856,b.29.1.1,b.29.1.0,0.47336
1113,1dglA,1q8oA,0.47854,0.93366,0.47465,0.92605,0.9932233095169068,0.9951950311660768,b.29.1.1,b.29.1.1,0.4514
1114,1dglA,1fnyA,0.47591,0.91859,0.47591,0.91859,0.9918225407600404,0.9967292547225952,b.29.1.1,b.29.1.1,0.44268
1115,1dglA,1ax0A,0.46985,0.92372,0.46604,0.91626,0.9903510808944702,0.9965486526489258,b.29.1.1,b.29.1.1,0.4502199999999999
1116,1dglA,1ciwA,0.47199,0.89813,0.47199,0.89813,0.9914730787277222,0.9968819618225098,b.29.1.1,b.29.1.1,0.4261399999999999
1117,1dglA,1bjqA,0.49757,0.91626,0.47102,0.86651,0.986207127571106,0.9947201013565063,b.29.1.1,b.29.1.1,0.39549
1118,1dglA,1sfyA,0.47046,0.9238,0.46665,0.91634,0.9902243614196776,0.9963946342468262,b.29.1.1,b.29.1.1,0.44969
1119,1dglA,1n47A,0.46625,0.92019,0.46625,0.92019,0.9909457564353944,0.9959097504615784,b.29.1.1,b.29.1.1,0.4539399999999999
1120,1dglA,1bzwA,0.47221,0.89884,0.47221,0.89884,0.99172705411911,0.9974952936172484,b.29.1.1,b.29.1.1,0.4266299999999999
1121,1dglA,1gz9A,0.47002,0.92403,0.46621,0.91657,0.9904730319976808,0.9961946606636048,b.29.1.1,b.29.1.1,0.45036
1122,1dglA,1fyuA,0.46921,0.92098,0.46541,0.91353,0.9905060529708862,0.9967730045318604,b.29.1.1,b.29.1.1,0.4481199999999999
1123,1dglA,1uzyA,0.47084,0.91944,0.46892,0.91572,0.9908332824707032,0.9954910278320312,b.29.1.1,b.29.1.1,0.4468
1124,1dglA,1dbnA,0.46963,0.93136,0.46579,0.92378,0.9934338331222534,0.9956189393997192,b.29.1.1,b.29.1.1,0.45799
1125,1dglA,2bqpA,0.47154,0.89927,0.47154,0.89927,0.9909554719924928,0.9963507652282716,b.29.1.1,b.29.1.1,0.42773
1126,1dglA,1fatA,0.47113,0.90707,0.47113,0.90707,0.9887540340423584,0.996635675430298,b.29.1.1,b.29.1.1,0.43594
1127,1dglA,1g8wA,0.47094,0.9096,0.47094,0.9096,0.9891663789749146,0.9968545436859132,b.29.1.1,b.29.1.1,0.4386599999999999
1128,1dglA,1dzqA,0.46714,0.90571,0.46714,0.90571,0.992554783821106,0.9956830739974976,b.29.1.1,b.29.1.1,0.43857
1129,1dglA,1hqlA,0.46601,0.89932,0.46601,0.89932,0.9924251437187196,0.9958055019378662,b.29.1.1,b.29.1.1,0.43331
1130,1dglA,1gnzA,0.4627,0.89529,0.4627,0.89529,0.992762327194214,0.9956713914871216,b.29.1.1,b.29.1.1,0.43259
1131,1dglA,1fx5A,0.47228,0.89683,0.46659,0.88604,0.9922873973846436,0.996117115020752,b.29.1.1,b.29.1.1,0.41945
1132,1dglA,1f9kA,0.46392,0.89002,0.46392,0.89002,0.9914917945861816,0.994508981704712,b.29.1.1,b.29.1.1,0.4261
1133,1dglA,1ioaA,0.44177,0.87452,0.44177,0.87452,0.9888875484466552,0.9933974742889404,b.29.1.1,b.29.1.1,0.4327499999999999
1134,1dglA,1avbA,0.43425,0.86226,0.43425,0.86226,0.9896153211593628,0.9926043152809144,b.29.1.1,b.29.1.1,0.42801
1173,1fatA,1h9wA,0.48103,0.92391,0.48103,0.92391,0.98570716381073,0.9982626438140868,b.29.1.1,b.29.1.1,0.44288
1174,1fatA,1h9pA,0.48072,0.92362,0.47871,0.9198,0.9873145818710328,0.9978249073028564,b.29.1.1,b.29.1.1,0.4410899999999999
1175,1fatA,2gdfA,0.47369,0.89459,0.47369,0.89459,0.96172434091568,0.9957889318466188,b.29.1.1,b.29.1.1,0.4209
1177,1fnyA,1h9pA,0.48222,0.92802,0.48222,0.92802,0.9907464385032654,0.9977137446403505,b.29.1.1,b.29.1.1,0.4458
1178,1fnyA,1h9wA,0.48244,0.92759,0.48244,0.92759,0.9893035888671876,0.997779130935669,b.29.1.1,b.29.1.1,0.44515
1179,1fnyA,2gdfA,0.47437,0.8989,0.47437,0.8989,0.9661407470703124,0.9956952929496764,b.29.1.1,b.29.1.1,0.42453
1181,1fyuA,1h9pA,0.46467,0.91517,0.46467,0.91517,0.9892637729644777,0.997450828552246,b.29.1.1,b.29.1.1,0.4505
1182,1fyuA,1h9wA,0.46529,0.91472,0.46529,0.91472,0.987902581691742,0.9971442222595216,b.29.1.1,b.29.1.1,0.44943
1183,1fyuA,2gdfA,0.45743,0.87892,0.45743,0.87892,0.9671951532363892,0.9941704273223876,b.29.1.1,b.29.1.1,0.42149
1184,1g7yA,1dglA,0.46692,0.87173,0.46692,0.87173,0.9903964400291444,0.9938001036643982,b.29.1.1,b.29.1.1,0.40481
1185,1g7yA,1mvqA,0.4677,0.86795,0.4677,0.86795,0.9898854494094848,0.9949506521224976,b.29.1.1,b.29.1.1,0.40025
1186,1g7yA,2d3pA,0.46655,0.86631,0.46655,0.86631,0.9911057353019714,0.994306206703186,b.29.1.1,b.29.1.1,0.39976
1187,1g7yA,1h9wA,0.46725,0.86742,0.46725,0.86742,0.9879242181777954,0.9923851490020752,b.29.1.1,b.29.1.1,0.4001699999999999
1188,1g7yA,1h9pA,0.46712,0.86864,0.46712,0.86864,0.9893884658813475,0.9931646585464478,b.29.1.1,b.29.1.1,0.40152
1189,1g7yA,2gdfA,0.45925,0.83615,0.45925,0.83615,0.9643558263778688,0.9920647740364076,b.29.1.1,b.29.1.1,0.3768999999999999
1190,1g7yA,1cn1A,0.4613,0.85245,0.4613,0.85245,0.9893222451210022,0.9898682832717896,b.29.1.1,b.29.1.1,0.39115
1195,1g8wA,1h9wA,0.47886,0.9224,0.47886,0.9224,0.9863963723182678,0.9980567693710328,b.29.1.1,b.29.1.1,0.44354
1196,1g8wA,1h9pA,0.47863,0.92253,0.47863,0.92253,0.9879884719848632,0.99761164188385,b.29.1.1,b.29.1.1,0.4438999999999999
1197,1g8wA,2gdfA,0.47163,0.8915,0.47163,0.8915,0.9625893235206604,0.99523663520813,b.29.1.1,b.29.1.1,0.4198699999999999
1198,1g8wA,1cn1A,0.47002,0.90253,0.46241,0.88808,0.9880086183547974,0.9947807788848876,b.29.1.1,b.29.1.1,0.42567
1200,1g9fA,1mvqA,0.46576,0.8934,0.46576,0.8934,0.9886764287948608,0.9976699352264404,b.29.1.1,b.29.1.1,0.4276399999999999
1201,1g9fA,1dglA,0.46562,0.89386,0.46562,0.89386,0.9891459345817566,0.9968138933181764,b.29.1.1,b.29.1.1,0.42824
1202,1g9fA,2d3pA,0.46479,0.88852,0.46479,0.88852,0.98993182182312,0.9971731901168824,b.29.1.1,b.29.1.1,0.42373
1203,1g9fA,1h9wA,0.46531,0.88911,0.46531,0.88911,0.9847153425216676,0.9960117340087892,b.29.1.1,b.29.1.1,0.4237999999999999
1204,1g9fA,2gdfA,0.46278,0.87735,0.46278,0.87735,0.9577537775039672,0.9939457774162292,b.29.1.1,b.29.1.1,0.4145699999999999
1205,1g9fA,2cnaA,0.46165,0.87944,0.46165,0.87944,0.9899918437004088,0.9973046779632568,b.29.1.1,b.29.1.1,0.41779
1214,1gbgA,1ajoA,0.57499,0.97313,0.57499,0.97313,0.9883649945259094,0.9983590245246888,b.29.1.2,b.29.1.2,0.39814
1216,1gbgA,1ajkA,0.56516,0.93308,0.56516,0.93308,0.9875207543373108,0.9972909688949584,b.29.1.2,b.29.1.2,0.36792
1220,1gnzA,1h9pA,0.46343,0.89705,0.46343,0.89705,0.9915077686309814,0.996325671672821,b.29.1.1,b.29.1.1,0.43362
1221,1gnzA,2gdfA,0.45602,0.86665,0.45602,0.86665,0.9688677787780762,0.9958942532539368,b.29.1.1,b.29.1.1,0.41063
1222,1gslA,1h9pA,0.46338,0.88771,0.46338,0.88771,0.98948335647583,0.9953227639198304,b.29.1.1,b.29.1.1,0.42433
1223,1gslA,1dglA,0.46558,0.89168,0.46558,0.89168,0.9919217824935912,0.9968327283859252,b.29.1.1,b.29.1.1,0.4261
1224,1gslA,1h9wA,0.46363,0.88689,0.46363,0.88689,0.9872477650642396,0.9938428997993468,b.29.1.1,b.29.1.1,0.4232599999999999
1225,1gslA,1azdA,0.46544,0.88957,0.46544,0.88957,0.9919406175613404,0.996385931968689,b.29.1.1,b.29.1.1,0.4241299999999999
1226,1gslA,1mvqA,0.46543,0.88727,0.46543,0.88727,0.990941882133484,0.99712336063385,b.29.1.1,b.29.1.1,0.42184
1227,1gslA,2d3pA,0.46232,0.88481,0.46232,0.88481,0.9920764565467834,0.996741771697998,b.29.1.1,b.29.1.1,0.42249
1228,1gslA,2cnaA,0.46017,0.87899,0.46017,0.87899,0.9911921620368958,0.9949181079864502,b.29.1.1,b.29.1.1,0.41882
1229,1gslA,2gdfA,0.45695,0.85858,0.45695,0.85858,0.9628862142562866,0.9930168390274048,b.29.1.1,b.29.1.1,0.40163
1230,1gslA,1cn1A,0.45842,0.87606,0.45842,0.87606,0.9912288188934326,0.9923039674758912,b.29.1.1,b.29.1.1,0.4176399999999999
1232,1gv9A,1h9wA,0.40392,0.7683,0.38992,0.74143,0.939462959766388,0.988361656665802,b.29.1.13,b.29.1.1,0.35151
1235,1gv9A,1apnA,0.40309,0.76567,0.40147,0.76257,0.8802319765090942,0.9860457181930542,b.29.1.13,b.29.1.1,0.3611
1238,1gz9A,2cwmA,0.46504,0.91356,0.46504,0.91356,0.9934608936309814,0.9970499277114868,b.29.1.1,b.29.1.1,0.44852
1239,1gz9A,1h9pA,0.46558,0.91561,0.46558,0.91561,0.9892234802246094,0.996984839439392,b.29.1.1,b.29.1.1,0.45003
1240,1gz9A,1h9wA,0.46594,0.91496,0.46594,0.91496,0.9877798557281494,0.9971725344657898,b.29.1.1,b.29.1.1,0.44902
1241,1gz9A,2gdfA,0.45855,0.88038,0.45855,0.88038,0.9663485288619996,0.9934191703796388,b.29.1.1,b.29.1.1,0.42183
1242,1gz9A,1cn1A,0.45838,0.89265,0.45838,0.89265,0.9892245531082152,0.9947243928909302,b.29.1.1,b.29.1.1,0.43427
1250,1h9pA,2fmdA,0.49412,0.97416,0.49412,0.97416,0.9909259676933287,0.9974810481071472,b.29.1.1,b.29.1.0,0.48004
1251,1h9pA,1q8oA,0.48443,0.9452,0.47267,0.92216,0.9925718307495116,0.9952869415283204,b.29.1.1,b.29.1.1,0.44949
1252,1h9pA,1dbnA,0.47657,0.94076,0.46491,0.91781,0.9916062355041504,0.9967473745346068,b.29.1.1,b.29.1.1,0.4529
1253,1h9pA,1n47A,0.47238,0.93311,0.47238,0.93311,0.989974081516266,0.9972386360168456,b.29.1.1,b.29.1.1,0.46073
1254,1h9pA,1bjqA,0.50648,0.93028,0.47165,0.8654,0.9850726127624512,0.9936212301254272,b.29.1.1,b.29.1.1,0.3937499999999999
1255,1h9pA,1dzqA,0.47361,0.91876,0.47165,0.91497,0.9904848337173462,0.9969529509544371,b.29.1.1,b.29.1.1,0.4433199999999999
1256,1h9pA,1hqlA,0.47253,0.91299,0.46673,0.90187,0.9909431338310242,0.996363878250122,b.29.1.1,b.29.1.1,0.4351399999999999
1257,1h9pA,2bqpA,0.47793,0.91073,0.47793,0.91073,0.988282322883606,0.9958268404006958,b.29.1.1,b.29.1.1,0.4328
1258,1h9pA,1g9fA,0.48073,0.92324,0.46536,0.89361,0.9870694875717164,0.9965189695358276,b.29.1.1,b.29.1.1,0.42825
1259,1h9pA,1f9kA,0.46966,0.90179,0.46771,0.8981,0.9900485277175904,0.9964558482170104,b.29.1.1,b.29.1.1,0.43039
1260,1h9pA,1fx5A,0.47795,0.90698,0.46457,0.88161,0.9908718466758728,0.9976952075958252,b.29.1.1,b.29.1.1,0.41704
1261,1h9pA,1ioaA,0.44736,0.88675,0.44736,0.88675,0.9883196353912354,0.9945962429046632,b.29.1.1,b.29.1.1,0.43939
1263,1h9pA,1avbA,0.44052,0.8728,0.44052,0.8728,0.98860901594162,0.993667721748352,b.29.1.1,b.29.1.1,0.43228
1278,1h9pA,1gv9A,0.38849,0.73868,0.38849,0.73868,0.9444916248321532,0.9870234727859496,b.29.1.1,b.29.1.13,0.35019
1279,1h9wA,2fmdA,0.49533,0.97739,0.49533,0.97739,0.9898419380187988,0.9976480007171632,b.29.1.1,b.29.1.0,0.48206
1280,1h9wA,1q8oA,0.4866,0.94976,0.47281,0.92275,0.9913676977157592,0.9946535229682922,b.29.1.1,b.29.1.1,0.4499399999999999
1281,1h9wA,1n47A,0.47448,0.93652,0.4725,0.93262,0.9887112975120544,0.9968711733818054,b.29.1.1,b.29.1.1,0.46012
1282,1h9wA,1bjqA,0.50892,0.93461,0.47198,0.8658,0.9837043285369872,0.9925426244735718,b.29.1.1,b.29.1.1,0.39382
1283,1h9wA,1dbnA,0.47878,0.94434,0.46512,0.91748,0.9897626638412476,0.9973026514053344,b.29.1.1,b.29.1.1,0.45236
1284,1h9wA,1hqlA,0.47495,0.91614,0.46717,0.90127,0.9895622730255128,0.996681809425354,b.29.1.1,b.29.1.1,0.4341
1285,1h9wA,1dzqA,0.476,0.92336,0.47206,0.91576,0.9886428117752076,0.9977210760116576,b.29.1.1,b.29.1.1,0.4437
1286,1h9wA,1gnzA,0.47134,0.911,0.46367,0.89629,0.9903542399406432,0.996288239955902,b.29.1.1,b.29.1.1,0.43262
