Protein1,Protein2,tmscore_max,tmscore_cp_max,tmscore_min,tmscore_cp_min,progres_score,cirpin_score,Protein1_sccs,Protein2_sccs,tm_score_min_difference,Protein1_uniprot,Protein2_uniprot
1moyA,1swfA,0.63864,0.87359,0.63636,0.63912,0.875464677810669,0.8231886625289917,b.61.1.1,b.61.1.1,0.0027599999999999,P22629,P22629
1n43A,1swfA,0.6839,0.93562,0.6839,0.6839,0.8781073689460754,0.8206084370613098,b.61.1.1,b.61.1.1,0.0,P22629,P22629
1n7yA,1swfA,0.71847,0.96824,0.71367,0.71616,0.8388294577598572,0.832679808139801,b.61.1.1,b.61.1.1,0.0024899999999999,P22629,P22629
1n9mA,1swfA,0.66652,0.91968,0.66466,0.66724,0.8723069429397583,0.8012247681617737,b.61.1.1,b.61.1.1,0.00258,P22629,P22629
1nbxA,1swfA,0.67991,0.92147,0.67468,0.67711,0.8703058958053589,0.8073446154594421,b.61.1.1,b.61.1.1,0.00243,P22629,P22629
1ndjA,1swfA,0.68445,0.93711,0.68445,0.68445,0.879486083984375,0.8182323575019836,b.61.1.1,b.61.1.1,0.0,P22629,P22629
1ptsA,1swfA,0.66793,0.9392,0.66793,0.66793,0.8656693696975708,0.7983776330947876,b.61.1.1,b.61.1.1,0.0,P22629,P22629
1rstB,1swfA,0.66179,0.91362,0.65664,0.6615,0.8665470480918884,0.8199372291564941,b.61.1.1,b.61.1.1,0.0048599999999999,P22629,P22629
1rxhA,1swfA,0.67408,0.93135,0.67408,0.67408,0.8768800497055054,0.8134236931800842,b.61.1.1,b.61.1.1,0.0,P22629,P22629
1rxjA,1swfA,0.70316,0.95454,0.69749,0.70019,0.8577419519424438,0.8319483995437622,b.61.1.1,b.61.1.1,0.0026999999999999,P22629,P22629
1rxkA,1swfA,0.67936,0.92937,0.67402,0.67726,0.8665434122085571,0.8092050552368164,b.61.1.1,b.61.1.1,0.00324,P22629,P22629
1strB,1swfA,0.66563,0.92266,0.65969,0.66595,0.8622747659683228,0.7998784780502319,b.61.1.1,b.61.1.1,0.00626,P22629,P22629
1swfA,1stpA,0.6938,0.97397,0.66558,0.66558,0.8725000619888306,0.8058570623397827,b.61.1.1,b.61.1.1,0.0,P22629,P22629
1swfA,2bc3A,0.71764,0.97539,0.56062,0.56062,0.8382792472839355,0.7315775156021118,b.61.1.1,b.61.1.1,0.0,P22629,P22629
1swfA,1i9hA,0.70484,0.96491,0.67291,0.67291,0.8612268567085266,0.8007402420043945,b.61.1.1,b.61.1.1,0.0,P22629,P22629
1swfA,1lczA,0.70373,0.95768,0.68459,0.68459,0.8627323508262634,0.8119630217552185,b.61.1.1,b.61.1.1,0.0,P22629,P22629
1swfA,1nqmA,0.69172,0.94654,0.68022,0.68022,0.8732961416244507,0.8162571787834167,b.61.1.1,b.61.1.1,0.0,P22629,P22629
1swhA,1swfA,0.71341,0.96884,0.70818,0.71068,0.8384729623794556,0.8281927108764648,b.61.1.1,b.61.1.1,0.0024999999999999,P22629,P22629
1swlA,1swfA,0.67806,0.92431,0.67528,0.6779,0.8723848462104797,0.8117563724517822,b.61.1.1,b.61.1.1,0.0026199999999999,P22629,P22629
1swoA,1swfA,0.67718,0.91858,0.67206,0.67458,0.8705320954322815,0.8083573579788208,b.61.1.1,b.61.1.1,0.0025199999999999,P22629,P22629
1swqA,1swfA,0.72051,0.96894,0.71561,0.71824,0.8375275731086731,0.8316330313682556,b.61.1.1,b.61.1.1,0.00263,P22629,P22629
1swsA,1swfA,0.70678,0.95882,0.70678,0.70678,0.8575072884559631,0.8288075923919678,b.61.1.1,b.61.1.1,0.0,P22629,P22629
2c4iA,1ravA,0.31284,0.48434,0.31284,0.48434,0.8547861576080322,0.8491224050521851,,b.61.1.1,0.1714999999999999,P02701,P02701
2c4iA,2a5cA,0.31768,0.45814,0.31768,0.45814,0.858628511428833,0.8310657739639282,,b.61.1.1,0.1404599999999999,P02701,P02701
2c4iA,2camA,0.31806,0.46103,0.31806,0.46103,0.8511695265769958,0.8481522798538208,,b.61.1.1,0.1429699999999999,P02701,P02701
2c4iA,1avdA,0.28968,0.49527,0.28968,0.49527,0.855409562587738,0.8350057601928711,,b.61.1.1,0.20559,P02701,P02701
2c4iA,2a5bA,0.31595,0.47434,0.31595,0.47434,0.8596476316452026,0.8409813046455383,,b.61.1.1,0.1583899999999999,P02701,P02701
2izbA,1swfA,0.63667,0.92594,0.63368,0.63368,0.8820316791534424,0.7853251695632935,b.61.1.1,b.61.1.1,0.0,P22629,P22629
1aeyA,1tucA,0.63901,0.82502,0.0,0.0,,,b.34.2.1,b.34.2.1,0.0,P07751,P07751
1bk2A,1g2bA,0.71147,0.95604,0.26108,0.26108,0.5373491048812866,0.6306537389755249,b.34.2.1,b.34.2.1,0.0,P07751,P07751
1bk2A,1tucA,0.66937,0.85469,0.0,0.0,,,b.34.2.1,b.34.2.1,0.0,P07751,P07751
1e6gA,1g2bA,0.69243,0.92661,0.24899,0.24899,0.5124454498291016,0.6195740699768066,b.34.2.1,b.34.2.1,0.0,P07751,P07751
1e6gA,1tucA,0.64683,0.841,0.0,0.0,,,b.34.2.1,b.34.2.1,0.0,P07751,P07751
1e6hA,1g2bA,0.66757,0.89985,0.24643,0.24643,0.4905692040920257,0.613098680973053,b.34.2.1,b.34.2.1,0.0,P07751,P07751
1e6hA,1tucA,0.63364,0.82315,0.0,0.0,,,b.34.2.1,b.34.2.1,0.0,P07751,P07751
1e7oA,1g2bA,0.66465,0.86833,0.21555,0.21555,0.5149922966957092,0.624872088432312,b.34.2.1,b.34.2.1,0.0,P07751,P07751
1e7oA,1tucA,0.6298,0.81062,0.0,0.0,,,b.34.2.1,b.34.2.1,0.0,P07751,P07751
1g2bA,1aeyA,0.63465,0.84502,0.23605,0.23605,0.5323454141616821,0.6344828605651855,b.34.2.1,b.34.2.1,0.0,P07751,P07751
1g2bA,1qkwA,0.65335,0.87928,0.24052,0.24052,0.5349465012550354,0.6346327066421509,b.34.2.1,b.34.2.1,0.0,P07751,P07751
1g2bA,1qkxA,0.65924,0.88966,0.25157,0.25157,0.5196787118911743,0.6306573152542114,b.34.2.1,b.34.2.1,0.0,P07751,P07751
1g2bA,1hd3A,0.66216,0.8957,0.25129,0.25129,0.521318793296814,0.6292486190795898,b.34.2.1,b.34.2.1,0.0,P07751,P07751
1g2bA,2f2xA,0.6475,0.8671,0.25148,0.23806,0.5390099287033081,0.6149412393569946,b.34.2.1,b.34.2.1,-0.0134199999999999,P07751,P07751
1g2bA,2f2wA,0.64155,0.86965,0.25921,0.25921,0.5500965118408203,0.6345013380050659,b.34.2.1,b.34.2.1,0.0,P07751,P07751
1g2bA,1uueA,0.66088,0.89685,0.26231,0.26231,0.5316742062568665,0.6299028992652893,b.34.2.1,b.34.2.1,0.0,P07751,P07751
1g2bA,1h8kA,0.62341,0.84121,0.22945,0.22945,0.5419405698776245,0.641782820224762,b.34.2.1,b.34.2.1,0.0,P07751,P07751
1hd3A,1tucA,0.65209,0.83906,0.0,0.0,,,b.34.2.1,b.34.2.1,0.0,P07751,P07751
1pwtA,1g2bA,0.69123,0.92107,0.24316,0.24316,0.484881192445755,0.6259036660194397,b.34.2.1,b.34.2.1,0.0,P07751,P07751
1pwtA,1tucA,0.62693,0.81619,0.0,0.0,,,b.34.2.1,b.34.2.1,0.0,P07751,P07751
1qkwA,1tucA,0.66027,0.84511,0.0,0.0,,,b.34.2.1,b.34.2.1,0.0,P07751,P07751
1qkxA,1tucA,0.65218,0.83754,0.0,0.0,,,b.34.2.1,b.34.2.1,0.0,P07751,P07751
1tucA,1g2bA,0.44384,0.83191,0.0,0.0,,,b.34.2.1,b.34.2.1,0.0,P07751,P07751
1tucA,2f2xA,0.61758,0.78741,0.0,0.0,,,b.34.2.1,b.34.2.1,0.0,P07751,P07751
1tucA,2f2wA,0.6187,0.78726,0.0,0.0,,,b.34.2.1,b.34.2.1,0.0,P07751,P07751
1tucA,1uueA,0.63577,0.81381,0.0,0.0,,,b.34.2.1,b.34.2.1,0.0,P07751,P07751
1tucA,1h8kA,0.6252,0.80672,0.0,0.0,,,b.34.2.1,b.34.2.1,0.0,P07751,P07751
2f2vA,1g2bA,0.65109,0.8698,0.23169,0.23169,0.4795581102371216,0.6145771741867065,b.34.2.1,b.34.2.1,0.0,P07751,P07751
2f2vA,1tucA,0.60565,0.78792,0.0,0.0,,,b.34.2.1,b.34.2.1,0.0,P07751,P07751
1ce3A,1tihA,0.3816,0.5498,0.3816,0.5498,0.9919353127479552,0.979280948638916,g.69.1.1,g.69.1.1,0.1681999999999999,Q40378,Q40378
1jjzA,1kalA,0.45329,0.59087,0.45329,0.59087,0.9916530251502992,0.9980406761169434,g.3.3.1,g.3.3.1,0.1375799999999999,P56254,P56254
1jjzA,1n1uA,0.54839,0.60015,0.54839,0.60015,0.9908046722412108,0.997969925403595,g.3.3.1,g.3.3.1,0.0517599999999999,P56254,P56254
1kalA,1n1uA,0.37316,0.51376,0.37316,0.51376,0.9932252168655396,0.9977084398269652,g.3.3.1,g.3.3.1,0.1406,P56254,P56254
1kalA,1orxA,0.54136,0.68416,0.54136,0.68416,0.995473861694336,0.9940235614776612,g.3.3.1,g.3.3.1,0.1428,P56254,P56254
1nb1A,1kalA,0.48348,0.70548,0.48348,0.70548,0.9949630498886108,0.997696340084076,g.3.3.1,g.3.3.1,0.2219999999999999,P56254,P56254
1nb1A,1jjzA,0.60313,0.67127,0.60313,0.67127,0.99209326505661,0.996616542339325,g.3.3.1,g.3.3.1,0.0681399999999999,P56254,P56254
1ytpA,1ce3A,0.42358,0.63652,0.41798,0.62853,0.9944729804992676,0.9812269806861876,g.69.1.1,g.69.1.1,0.21055,Q40378,Q40378
2f2iA,1kalA,0.3756,0.57193,0.3756,0.57193,0.9925251603126526,0.9951834082603456,,g.3.3.1,0.19633,P56254,P56254
2f2iA,1jjzA,0.47617,0.53466,0.47617,0.53466,0.9886287450790404,0.9962957501411438,,g.3.3.1,0.05849,P56254,P56254
2f2jA,1kalA,0.39799,0.56335,0.39799,0.56335,0.9945207834243774,0.9980026483535768,,g.3.3.1,0.16536,P56254,P56254
2f2jA,1jjzA,0.5038,0.62911,0.5038,0.62911,0.9943527579307556,0.9962451457977296,,g.3.3.1,0.1253099999999999,P56254,P56254
1fw8A,1qpgA,0.76213,0.90859,0.76213,0.90859,0.9817236065864564,0.9940338134765624,c.86.1.1,c.86.1.1,0.14646,P00560,P00560
1fw8A,3pgkA,0.7326,0.87961,0.7326,0.87961,0.9825931191444396,0.9917476177215576,c.86.1.1,c.86.1.1,0.1470099999999999,P00560,P00560
1blcA,1alqA,0.85235,0.98812,0.13591,0.13888,0.5064922571182251,0.5454503297805786,e.3.1.1,e.3.1.1,0.00297,P00807,P00807
1blpA,1alqA,0.84675,0.98448,0.13809,0.13809,0.5359774231910706,0.5461248159408569,e.3.1.1,e.3.1.1,0.0,P00807,P00807
1djaA,1alqA,0.85057,0.98581,0.13549,0.13549,0.5168561935424805,0.537627637386322,e.3.1.1,e.3.1.1,0.0,P00807,P00807
1djbA,1alqA,0.85482,0.99067,0.13597,0.13597,0.5114174485206604,0.5394808053970337,e.3.1.1,e.3.1.1,0.0,P00807,P00807
1ghiA,1alqA,0.85453,0.99041,0.13597,0.13597,0.5152150392532349,0.5407020449638367,e.3.1.1,e.3.1.1,0.0,P00807,P00807
1kgeA,1alqA,0.85474,0.99067,0.136,0.136,0.5116177797317505,0.5391301512718201,e.3.1.1,e.3.1.1,0.0,P00807,P00807
1kgfA,1alqA,0.85391,0.98965,0.13582,0.13582,0.5170623660087585,0.5370455980300903,e.3.1.1,e.3.1.1,0.0,P00807,P00807
1kggA,1alqA,0.8529,0.98875,0.13588,0.13588,0.5142179727554321,0.5351317524909973,e.3.1.1,e.3.1.1,0.0,P00807,P00807
1pioA,1alqA,0.848,0.9837,0.13602,0.13924,0.5131735801696777,0.545423686504364,e.3.1.1,e.3.1.1,0.00322,P00807,P00807
2gedA,1nrjB,0.60413,0.79446,0.17555,0.17555,0.573935329914093,0.5668331980705261,,c.37.1.8,0.0,P36057,P36057
1a23A,1un2A,0.45417,0.81368,0.45417,0.81368,0.9844257831573486,0.9887176156044006,c.47.1.13,c.47.1.13,0.3595099999999999,P0AEG4,P0AEG4
1ac1A,1un2A,0.50342,0.9387,0.50342,0.9387,0.984773576259613,0.9915183782577516,c.47.1.13,c.47.1.13,0.43528,P0AEG4,P0AEG4
1acvA,1un2A,0.50519,0.94177,0.50519,0.94177,0.983860433101654,0.9917014837265016,c.47.1.13,c.47.1.13,0.4365799999999999,P0AEG4,P0AEG4
1fvjA,1un2A,0.50742,0.94509,0.50742,0.94509,0.9846082925796508,0.9908530712127686,c.47.1.13,c.47.1.13,0.43767,P0AEG4,P0AEG4
1ti1A,1un2A,0.48785,0.93896,0.48785,0.93896,0.9912670850753784,0.9952080249786376,c.47.1.13,c.47.1.13,0.45111,P0AEG4,P0AEG4
1un2A,1bq7A,0.51353,0.96431,0.51353,0.96431,0.9891652464866638,0.9955768585205078,c.47.1.13,c.47.1.13,0.4507799999999999,P0AEG4,P0AEG4
1un2A,2b3sA,0.47834,0.91446,0.47593,0.90986,0.9857510924339294,0.993427276611328,c.47.1.13,c.47.1.13,0.43393,P0AEG4,P0AEG4
2b6mA,1un2A,0.50505,0.95804,0.50505,0.95804,0.9862810373306274,0.9930421113967896,c.47.1.13,c.47.1.13,0.45299,P0AEG4,P0AEG4
